external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,exchange_rate,fee,tax,note
D倉長線-2023-11-15-QQQ-BUY-1,2023-11-15,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,BUY,35,360.29,33,0,0,新增8.4%
D倉長線-2023-11-15-SPY-BUY-2,2023-11-15,martingale,D倉(長線),US,SPY,S&P 500 ETF,BUY,29,435.18,33,0,0,新增8.4%
D倉長線-2023-11-15-SOXX-BUY-3,2023-11-15,martingale,D倉(長線),US,SOXX,Semiconductor ETF,BUY,22,476.37,33,0,0,新增7.0%
D倉長線-2023-11-15-IWM-BUY-4,2023-11-15,martingale,D倉(長線),US,IWM,Russell 2000 ETF,BUY,69,174.5,33,0,0,新增8.0%
D倉長線-2024-02-13-QQQ-SELL-5,2024-02-13,martingale,D倉(長線),US,QQQ,Nasdaq 100 ETF,SELL,17,438.58,33,0,0,減碼一半
D倉長線-2024-02-13-SPY-SELL-6,2024-02-13,martingale,D倉(長線),US,SPY,S&P 500 ETF,SELL,14,503.24,33,0,0,減碼一半
D倉長線-2024-02-13-SOXX-SELL-7,2024-02-13,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SELL,11,637.76,33,0,0,減碼一半
D倉長線-2024-02-13-IWM-SELL-8,2024-02-13,martingale,D倉(長線),US,IWM,Russell 2000 ETF,SELL,34,203.06,33,0,0,減碼一半
SPLIT-2024-03-07-SOXX-8,2024-03-07,martingale,D倉(長線),US,SOXX,Semiconductor ETF,SPLIT,3,1,1,0,0,拆股3:1
