日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格,損益率
2024-08-05,3029,零壹,加碼 1/3,90.70,,,
2024-08-05,4540,全球傳動,加碼 1/3,33.95,,,
2024-08-06,6719,力智,加碼 1/3,232.50,,,
2024-08-06,1733,五鼎,,,剔除,27.70,-19.95%
2024-08-06,6443,元晶,加碼 1/3,24.30,,,
2024-08-06,8349,恒耀,新增 1/3,71.00,,,
2024-08-21,4540,全球傳動,,,減碼 1/3,44.90,+19.99%
2024-08-27,4540,全球傳動,,,剔除,43.10,+26.21%
2024-08-27,2359,所羅門,,,減碼 1/3,155.50,+3.06%
2024-08-27,8349,恒耀,加碼 1/3,74.40,,,
2024-08-27,6719,力智,,,減碼 1/3,261.00,-13.22%
2024-08-27,5236,凌陽創新,新增 1/3,167.50,,,
2024-09-05,8349,恒耀,股利$0.99,,,
2024-09-06,5236,凌陽創新,加碼 1/3,171.50,,,
2024-09-09,6719,力智,,,剔除,230.50,-11.61%
2024-09-09,6443,元晶,,,剔除,21.00,-23.30%
2024-09-13,1727,中華化,新增 1/3,34.90,,,
2024-09-13,6548,長科*,新增 1/3,37.70,,,
2024-09-20,6548,長科*,加碼 1/3,39.60,,,
2024-09-23,9958,世紀鋼,新增 1/3,248.00,,,
2024-09-23,4906,正文,新增 1/3,40.00,,,
2024-09-25,9958,世紀鋼,加碼 1/3,245.50,,,
2024-09-25,4906,正文,加碼 1/3,40.75,,,
2024-10-09,1727,中華化,,,剔除,37.90,+7.96%
2024-10-09,9958,世紀鋼,,,減碼 1/3,211.50,
2024-11-06,3029,零壹(2),新增 1/3,100.50,,,
2024-11-06,8349,恒耀,,,剔除,66.60,-7.67%
2024-11-07,4906,正文,加碼 1/3,37.65,,,
2024-11-11,4906,正文,,,剔除,35.60,-10.33%
2024-11-11,5388,中磊,新增 1/3,113.00,,,
2024-12-03,5388,中磊,加碼 1/3,112.50,,,
2024-12-03,6548,長科*,加碼 1/3,35.20,,,
2024-12-05,9958,世紀鋼,,,剔除,183.50,-25.69%
2024-12-05,4555,氣立,新增 1/3,37.65,,,
2024-12-05,2359,所羅門,新增 1/3,140.00,,,
2024-12-12,3029,零壹(2),,,減碼 1/3,169.50,+67.67%
2024-12-17,3029,零壹,,,減碼 1/3,143.00,+56.74%
2024-12-19,5236,凌陽創新,,,剔除,148.00,-13.19%
2024-12-19,6548,長科*,現金股利$0.41,,,
2024-12-24,4555,氣立,加碼 1/3,42.00,,,
2025-01-09,5388,中磊,加碼 1/3,122.50,,,
2025-02-03,3029,零壹,加碼 1/3,131.50,,,
2025-02-21,2359,所羅門,新增 1/3,154.00,,,
2025-03-04,6548,長科*,,,剔除,33.50,-10.21%
2025-03-05,8936,國統,新增 1/3,57.30,,,
2025-03-10,8936,國統,加碼 1/3,57.10,,,
2025-03-10,5388,中磊,,,減碼 1/3,127.50,+3.47%
2025-03-11,5388,中磊,,,剔除,124.00,+9.09%
2025-03-11,3029,零壹,,,減碼 1/3,145.00,+9.62%
2025-03-11,2359,所羅門,,,減碼 1/3,143.00,-7.69%
2025-03-11,4555,氣立,,,減碼 1/3,40.80,-3.42%
2025-03-11,6125,廣運,,,剔除 0.5,83.10,+40.74%
2025-03-11,8028,昇陽半導體,,,剔除 0.5,139.50,+180.74%
