日期,代號,股名,買入事件,買入價格,賣出事件,賣出價格
2025-09-22,4979,華星光,進場4%,215.50,,
2025-09-22,6217,中探針,進場4%,47.80,,
2025-09-24,6217,中探針,,,剔除4%,45.00
2025-09-24,00632R,元大台灣50反1,進場5%,18.37,,
2025-09-24,2009,第一銅,進場8%,34.80,,
2025-09-25,8027,鈦昇,,,減碼5%,89.00
2025-09-26,8027,鈦昇,,,剔除5%,84.50
2025-09-26,6789,采鈺,,,剔除4%,283.00
2025-09-26,4966,譜瑞-KY,,,剔除4%,740.00
2025-10-01,2009,第一銅,,,減碼3%,40.35
2025-10-02,2009,第一銅,,,減碼2%,38.90
2025-10-07,3060,銘異,進場6%,25.80,,
2025-10-07,6239,力成,進場6%,154.50,,
2025-10-07,6768,志強-KY,進場6%,115.00,,
2025-10-07,6591,動力-KY,進場6%,84.30,,
2025-10-08,3060,銘異,,,減碼3%,27.00
2025-10-08,6239,力成,,,減碼3%,156.00
2025-10-08,4979,華星光,,,剔除4%,212.00
2025-10-08,6591,動力-KY,,,剔除6%,81.20
2025-10-08,4979,華星光,進場4%,214.50,,
2025-10-08,6591,動力-KY,進場4%,82.50,,
2025-10-08,8027,鈦昇,進場4%,91.30,,
2025-10-09,6768,志強-KY,,,減碼3%,124.00
2025-10-09,3060,銘異,,,剔除3%,24.45
2025-10-14,3491,昇達科,,,剔除3%,430.50
2025-10-14,4979,華星光,,,剔除4%,180.50
2025-10-14,00632R,元大台灣50反1,,,剔除5%,17.84
2025-10-14,2009,第一銅,,,剔除3%,41.60
2025-10-14,6239,力成,,,剔除6%,148.50
2025-10-14,6768,志強-KY,,,剔除3%,117.00
2025-10-14,6591,動力-KY,,,剔除4%,77.70
2025-10-14,8027,鈦昇,,,剔除4%,85.60
2025-10-22,3529,力旺,進場5%,2285.00,,
2025-10-22,3707,漢磊,進場5%,65.50,,
2025-10-22,8261,富鼎,進場5%,105.50,,
2025-10-22,1795,美時,進場5%,319.00,,
2025-10-28,3707,漢磊,,,剔除5%,57.60
2025-10-29,3529,力旺,,,剔除5%,2180.00
2025-10-29,8261,富鼎,,,剔除5%,99.20
2025-10-29,1795,美時,加碼5%,289.50,,
2025-11-10,1795,美時,,,剔除10%,270.50
2025-11-12,2337,旺宏,進場5%,39.85,,
2025-11-12,6239,力成,進場5%,170.00,,
2025-11-21,2337,旺宏,,,剔除5%,34.35
2025-11-21,6239,力成,,,剔除5%,152.00
2025-12-02,2408,南亞科,進場3%,152.50,,
2025-12-02,2637,慧洋-KY,進場3%,68.60,,
2025-12-02,6191,精成科,進場3%,129.50,,
2025-12-15,6191,精成科,,,剔除3%,114.50
2025-12-29,2637,慧洋-KY,加碼3%,70.00,,
2025-12-29,2603,長榮,進場3%,192.00,,
2025-12-29,8088,品安,進場3%,44.00,,
2025-12-30,6173,信昌電,進場6%,66.50,,
2025-12-30,8996,高力,進場4%,574.00,,
2025-12-30,1785,光洋科,進場4%,65.90,,
2025-12-30,8088,品安,,,減碼1%,46.20
2025-12-30,2408,南亞科,,,減碼1%,194.00
2026-01-02,6173,信昌電,,,減碼3%,70.14
2026-01-02,6789,采鈺,進場10%,281.00,,
2026-01-02,3535,晶彩科,進場4%,95.60,,
2026-01-02,2454,聯發科,進場6%,1470.00,,
2026-01-02,2308,台達電,進場6%,991.00,,
2026-01-02,8996,高力,加碼2%,571.00,,
2026-01-05,8088,品安,,,剔除2%,46.70
2026-01-05,3535,晶彩科,,,減碼2%,98.30
2026-01-05,2454,聯發科,,,剔除6%,1520.00
